 IBDRY ENLAY HSEA DEO TSCDF WFC PEP NVS GBPEUR USDEUR CHFEUR 
23-11-2010 29,975 5,235 27,61 74,13 6,8 26,74 63,915 55,315 1,16126 0,716498 0,771384 
22-11-2010 31,25 5,425 27,65 75,5 6,745 27,07 64,51 56,515 1,16242 0,716918 0,772618 
19-11-2010 31,925 5,56 27,745 75,705 6,75 27,32 64,49 56,46 1,16724 0,716918 0,774537 
18-11-2010 31,9 5,57 27,73 76,02 6,98 27,41 64,3 56,76 1,17557 0,721746 0,778963 
17-11-2010 31,285 5,43 27,58 74,05 6,76 27,095 63,98 55,835 1,17883 0,724217 0,780628 
16-11-2010 31,225 5,42 27,445 73,895 6,85 27,24 64,415 56,08 1,17649 0,724502 0,779675 
15-11-2010 31,895 5,535 27,445 74,87 6,755 27,89 64,665 56,26 1,17266 0,726066 0,782235 
12-11-2010 31,75 5,515 27,495 74,415 6,665 27,72 64,635 55,98 1,17319 0,72671 0,782882 
11-11-2010 31,755 5,555 27,56 74,275 6,63 28,275 64,96 56,315 1,17754 0,727229 0,78109 
10-11-2010 32,175 5,62 27,435 73,87 6,41 28,25 65,005 56,695 1,18293 0,730839 0,778162 
9-11-2010 32,765 5,65 27,485 74,35 6,375 28,575 65,11 57,38 1,18612 0,7326 0,775313 
8-11-2010 32,56 5,64 27,5 74,855 6,6 28,895 65,03 58,115 1,18661 0,730719 0,772657 
5-11-2010 33,18 5,73 27,54 75,34 6,635 28,455 65,055 58,64 1,18703 0,732681 0,772094 
4-11-2010 34,1 5,84 27,485 75,99 5,22 27,065 65,165 59,015 1,1887 0,737535 0,768773 
3-11-2010 33,715 5,72 27,515 74,745 6,6 26,095 65,165 58,26 1,19088 0,739673 0,765286 
2-11-2010 34,065 5,745 27,54 74,79 6,29 25,915 65,88 58,325 1,18936 0,740493 0,763168 
1-11-2010 33,35 5,645 27,465 74,14 6,31 25,85 65,515 57,56 1,18534 0,739887 0,760561 
29-10-2010 33,685 5,655 27,4 73,885 6,3 25,9 65,08 57,945 1,17999 0,735932 0,759106 
28-10-2010 33,435 5,63 27,36 73,83 6,15 25,785 64,735 57,98 1,17722 0,732035 0,760477 
27-10-2010 32,95 5,52 27,38 73,115 6,265 25,8 64,145 57,53 1,17909 0,732856 0,763166 
26-10-2010 32,825 5,545 27,415 74,145 6,25 25,735 64,77 57,7 1,18427 0,734961 0,768631 
25-10-2010 33,235 5,58 27,375 74,695 6,35 25,97 65,105 58,565 1,18688 0,733135 0,770486 
22-10-2010 33,105 5,59 27,3 74,11 6,25 26 65,175 58,39 1,18286 0,733135 0,771034 
21-10-2010 32,725 5,565 27,27 74,66 6,55 25,14 65,145 59,075 1,17477 0,725972 0,771759 
20-10-2010 32,45 5,525 27,22 73,315 6,29 25,07 65,345 59,38 1,16996 0,725129 0,772584 
19-10-2010 32,125 5,425 27,215 73,065 6,25 24,855 65,585 58,81 1,16832 0,729577 0,774992 
18-10-2010 32,74 5,54 27,195 72,22 6,25 24,26 66,75 59,605 1,16552 0,733753 0,778951 
15-10-2010 32,7 5,52 27,355 72,18 6,085 24,185 66,73 59,265 1,16365 0,732744 0,77732 
14-10-2010 32,68 5,53 27,625 72,71 6,12 24,845 66,645 59,465 1,16009 0,72998 0,773429 
13-10-2010 32,27 5,5 27,79 72,15 6 25,985 66,5 59,71 1,16021 0,731545 0,774421 
12-10-2010 31,58 5,34 27,9 71,185 6,15 25,67 65,735 58,875 1,16829 0,733796 0,771902 
11-10-2010 31,795 5,425 27,88 70,965 5,95 25,78 65,53 58,555 1,17409 0,73474 0,767589 
8-10-2010 31,69 5,435 27,765 70,57 6,05 25,985 65,71 58,14 1,17806 0,737565 0,769191 
7-10-2010 31,755 5,435 27,755 70,625 6,1 26,21 65,94 58,015 1,18601 0,743019 0,774742 
6-10-2010 31,435 5,365 27,63 70,22 6,12 26,31 67,755 57,825 1,19099 0,74546 0,776273 
5-10-2010 31,08 5,355 27,725 70,025 6 25,875 67,365 57,725 1,19416 0,749811 0,7787 
4-10-2010 30,35 5,205 27,67 69,43 6 25,505 66,755 56,995 1,18975 0,74951 0,777092 
1-10-2010 30,795 5,31 27,45 70,055 5,91 25,405 66,64 57,34 1,18933 0,75113 0,778257 
30-9-2010 30,825 5,29 27,41 69,535 5,905 25,325 66,78 57,68 1,19851 0,761976 0,78545 
29-9-2010 30,535 5,225 27,345 69,52 5,8 25,14 66,615 57,975 1,20242 0,769728 0,792077 
28-9-2010 30,49 5,265 27,205 69,065 5,76 25,49 66,36 58,08 1,20292 0,773134 0,797852 
27-9-2010 30,435 5,24 27,91 70,025 5,76 25,705 66,41 57,74 1,2039 0,774597 0,801039 
24-9-2010 30,67 5,24 27,95 69,64 5,55 25,53 66,12 57,48 1,19588 0,770207 0,796906 
23-9-2010 29,685 5,115 27,94 68,595 5,78 25,355 65,925 56,375 1,17979 0,760295 0,790234 
22-9-2010 30,095 5,16 27,775 68,645 6,365 26,1 66,605 56,54 1,17096 0,75291 0,793046 
21-9-2010 30,12 5,175 27,885 68,725 6,475 26,625 66,42 56,375 1,16417 0,749491 0,798465 
20-9-2010 29,46 5,1 27,89 67,85 6,415 26,285 66,515 56,535 1,16517 0,749291 0,801308 
17-9-2010 29,17 5,035 28 67,535 6,35 26,12 66,5 55,79 1,16694 0,750334 0,80025 
16-9-2010 29,77 5,095 28,13 67,735 6,325 26,09 66,415 55,265 1,16922 0,757095 0,801481 
15-9-2010 29,655 5,1 27,95 67,99 6,4 26,025 66,15 55,765 1,17151 0,759884 0,798429 
14-9-2010 29,58 5,11 27,85 67,655 6,45 26,11 66,145 55,765 1,17128 0,759259 0,793814 
13-9-2010 29,49 5,075 27,83 67,46 6,315 26,52 66,185 54,57 1,17475 0,7616 0,792035 
10-9-2010 29,13 5,03 27,725 67,63 6,33 25,82 66,18 54,045 1,17615 0,762492 0,794849 
9-9-2010 29,085 5,03 27,61 67,695 6,35 25,615 65,815 53,64 1,17631 0,762852 0,798723 
8-9-2010 28,925 4,975 27,335 67,325 6,325 25,215 65,48 53,595 1,17822 0,761819 0,795831 
7-9-2010 28,535 4,94 27,32 67,825 6,3 25,295 65,555 53,235 1,18003 0,76072 0,789404 
3-9-2010 29,275 5,005 27,19 67,88 6,45 25,86 65,41 53,005 1,1796 0,759769 0,784812 
2-9-2010 28,92 4,93 27,095 67,41 6,51 24,865 64,915 52,96 1,17808 0,757492 0,781829 
1-9-2010 28,775 4,88 27,075 67,41 6,425 24,255 64,785 53,26 1,17798 0,754138 0,780675 
31-8-2010 27,9 4,74 26,985 65,325 6,4 23,355 63,76 52,455 1,17892 0,748641 0,777503 
30-8-2010 27,74 4,69 26,95 65,685 6,25 23,605 64,015 52,27 1,18491 0,748734 0,772421 
27-8-2010 27,585 4,725 26,915 65,49 6,36 23,735 63,925 51,745 1,19262 0,754864 0,770891 
26-8-2010 27,155 4,67 26,81 65,605 6,475 23,75 64,335 51 1,19358 0,755459 0,769035 
25-8-2010 26,6 4,625 26,84 66,08 6,425 23,335 64,525 50,41 1,19085 0,754814 0,765476 
24-8-2010 27,175 4,665 26,835 66,445 6,575 23,795 64,725 49,96 1,18727 0,753348 0,764638 
23-8-2010 27,54 4,75 26,855 67,345 6,525 24,535 65,09 50,405 1,1813 0,750177 0,765129 
20-8-2010 27,285 4,695 26,945 67,165 6,575 24,49 64,79 50,56 1,17818 0,748367 0,765838 
19-8-2010 28,03 4,825 26,95 67,99 6,66 24,815 64,89 51,255 1,17987 0,751148 0,763877 
18-8-2010 28,33 4,935 26,88 68,63 6,8 25,38 65,545 51,21 1,18904 0,762342 0,761551 
17-8-2010 28,18 4,975 26,78 68,825 6,815 25,61 65,61 50,79 1,19261 0,765813 0,764247 
16-8-2010 27,73 4,85 26,68 69,355 6,85 25,715 65,15 50,55 1,18716 0,762579 0,762374 
13-8-2010 27,815 4,85 26,865 69,26 6,725 26,055 65,285 50,205 1,17983 0,756891 0,755195 
12-8-2010 27,95 4,905 26,8 69,27 6,8 26,13 65,065 50,13 1,17876 0,752872 0,752 
11-8-2010 28,275 4,93 26,745 68,875 6,7 26,825 65,76 50,245 1,18172 0,749074 0,751213 
10-8-2010 29,425 5,09 26,78 69,74 6,9 27,79 66,415 50,965 1,17921 0,744663 0,749369 
9-8-2010 29,73 5,15 26,79 70,335 6,83 27,895 66,265 50,42 1,17272 0,735829 0,742773 
6-8-2010 29,2 5,045 26,61 69,155 6,85 27,505 65,55 50,055 1,16773 0,730453 0,736739 
5-8-2010 29,51 5,085 26,63 70,32 6,825 27,76 65,465 50,175 1,17038 0,732734 0,738799 
4-8-2010 29,58 5,095 26,5 71,365 6,73 27,975 65,86 49,68 1,17483 0,737202 0,743014 
3-8-2010 29,65 5,07 26,34 70,95 6,7 28,215 65,46 50,015 1,17758 0,739055 0,745216 
2-8-2010 29,4 5,025 26,165 71,405 6,675 28,265 65,175 49,825 1,17867 0,734984 0,74619 
30-7-2010 28,035 4,855 26,02 69,545 6,775 27,62 64,745 48,72 1,17814 0,731653 0,745567 
29-7-2010 28,5 4,86 26,08 69,24 6,69 27,985 65,15 49,1 1,17608 0,72953 0,746511 
28-7-2010 28,075 4,805 26,075 69,56 6,825 28,23 65,345 48,82 1,17048 0,727396 0,748977 
27-7-2010 28,015 4,805 26,035 70,785 6,7 28,505 65,25 48,515 1,16316 0,724238 0,747694 
26-7-2010 27,525 4,775 25,965 70,7 6,76 27,575 64,61 49,005 1,15913 0,71895 0,745176 
23-7-2010 27,14 4,7 25,95 69,67 6,75 27,275 64,4 49,025 1,15546 0,71508 0,742144 
22-7-2010 27 4,735 25,84 68,415 6,74 27,02 64,43 49,66 1,14846 0,709763 0,736967 
21-7-2010 26,245 4,59 25,765 67,495 6,735 26,785 64,325 48,91 1,14246 0,707894 0,72853 
20-7-2010 26,325 4,62 25,765 67,375 6,815 25,61 63,29 49,375 1,14614 0,713731 0,727236 
19-7-2010 26,435 4,67 25,78 67,855 6,745 26,01 62,26 49,745 1,14926 0,716471 0,727623 
16-7-2010 26,12 4,66 25,815 68,49 6,65 26,815 62,885 50,16 1,15061 0,717063 0,727623 
15-7-2010 26,65 4,735 25,905 68,535 6,9 27,59 63,35 51,195 1,14787 0,718449 0,730555 
14-7-2010 26,545 4,72 25,82 68,225 6,725 27,515 63,38 50,61 1,14479 0,722268 0,732278 
13-7-2010 26,385 4,71 25,89 67,44 6,755 27,7 63,805 50,14 1,14255 0,72263 0,733872 
12-7-2010 25,66 4,55 25,92 66,32 6,735 26,845 63,4 49,385 1,13239 0,717044 0,735239 
9-7-2010 26 4,6 25,805 65,975 6,675 26,72 63,705 49,35 1,12339 0,714758 0,734629 
8-7-2010 25,825 4,605 25,66 65,8 6,74 26,58 63,455 49,41 1,12524 0,716276 0,736439 
7-7-2010 25,37 4,525 25,55 64,555 6,6 25,935 62,175 49,055 1,13117 0,717773 0,743957 
6-7-2010 24,59 4,41 25,64 63,73 6,72 25,215 61,42 48,305 1,13785 0,721377 0,747646 
2-7-2010 23,625 4,36 25,575 63,24 6,685 25,22 61,765 47,965 1,14002 0,720643 0,74784 
1-7-2010 23,035 4,29 25,41 63,235 6,675 25,27 60,99 48,185 1,14275 0,717131 0,747666 
30-6-2010 22,53 4,27 25,425 63,16 6,82 25,985 61,115 48,555 1,14141 0,713595 0,74618 
29-6-2010 22,845 4,25 25,37 63,905 6,515 26,225 61,33 48,175 1,13655 0,712515 0,747009 
28-6-2010 24,245 4,395 25,46 64,44 6,54 27,08 61,585 48,995 1,13836 0,718324 0,748804 
25-6-2010 24,275 4,375 25,95 64,29 6,45 27,23 61,63 48,64 1,14318 0,720673 0,748603 
24-6-2010 25,14 4,49 25,93 64,555 6,62 26,69 62,62 48,585 1,14377 0,717831 0,745437 
23-6-2010 25,965 4,64 25,83 65,2 6,5 27,455 62,765 48,32 1,1432 0,718448 0,744929 
22-6-2010 26,17 4,665 25,675 65,855 6,58 27,88 63,715 48,885 1,14265 0,718448 0,745827 
21-6-2010 26,635 4,69 25,815 65,735 6,95 28,145 64,265 48,99 1,14743 0,72259 0,748218 
18-6-2010 26,3 4,855 25,795 66,01 6,76 27,985 64,35 48,825 1,1525 0,727117 0,749157 
17-6-2010 26,095 4,9 25,87 66,39 6,9 27,86 64,155 48,825 1,15149 0,727741 0,747351 
16-6-2010 25,715 4,815 26,145 66,29 6,75 27,96 63,805 48,745 1,15181 0,728375 0,746736 
15-6-2010 25,79 4,82 26,565 65,835 6,92 27,715 64,065 48,76 1,16038 0,734307 0,75127 
14-6-2010 25,24 4,72 26,57 65,87 6,6 27,64 63,735 48,545 1,16513 0,737007 0,7536 
11-6-2010 24,99 4,55 26,35 64,375 6,6 27,65 63,25 48,155 1,17287 0,741514 0,754779 
10-6-2010 24,35 4,51 26,22 64,595 6,86 27,82 63,465 47,16 1,17468 0,742034 0,754161 
9-6-2010 23,775 4,4 26,125 63,48 7,25 27,43 62,7 45,905 1,17361 0,744105 0,7562 
8-6-2010 23,74 4,305 26,13 61,59 7 27,235 62,1 45,04 1,17382 0,74886 0,758276 
7-6-2010 24,185 4,32 26,025 61,7 7,25 27,685 61,925 45,19 1,17683 0,753126 0,757074 
4-6-2010 24,685 4,38 26,04 62,215 6,875 28,05 61,875 45,22 1,18754 0,762497 0,759219 
3-6-2010 26,385 4,6 26,155 63,355 6,89 29 63,325 46,165 1,19458 0,765285 0,759496 
2-6-2010 25,885 4,495 26,205 62,61 6,8 28,76 62,645 45,57 1,19688 0,766081 0,759067 
1-6-2010 25,935 4,5 25,91 62,18 6,67 28,695 62,745 45,345 1,1962 0,767298 0,762496 
28-5-2010 26,4 4,585 25,92 61,435 6,6 29,02 63,095 45,4 1,19715 0,77129 0,769856 
27-5-2010 26,435 4,55 25,645 60,82 6,88 28,99 62,225 44,695 1,19883 0,775948 0,77245 
26-5-2010 25,215 4,365 25,575 59,69 6,9 28,52 62,05 44,12 1,20562 0,782665 0,771203 
25-5-2010 24,745 4,27 25,45 59,455 6,9 28,175 62,285 43,95 1,21203 0,787827 0,774369 
24-5-2010 25,65 4,425 25,57 60,86 6,6 29,14 63,305 45 1,21449 0,786693 0,777209 
21-5-2010 26,06 4,38 25,275 60,31 6,7 29,175 62,89 44,555 1,21123 0,785689 0,777498 
20-5-2010 25,67 4,355 25,2 61,18 6,65 29,325 64,545 45,095 1,20087 0,781176 0,77168 
19-5-2010 26,31 4,41 25,46 62,705 6,65 29,685 65,94 45,855 1,19673 0,775885 0,76438 
18-5-2010 26,92 4,465 25,93 63,92 7,05 31,35 66,85 46,6 1,19943 0,777339 0,765835 
17-5-2010 26,22 4,43 25,935 63,535 7,1 31,69 66,515 46,91 1,20352 0,781169 0,770759 
14-5-2010 26,63 4,47 26,22 63,945 7,05 32,32 66,185 47,35 1,20932 0,784892 0,77231 
13-5-2010 28,375 4,74 26,385 65,18 6,95 33,455 66,77 48,475 1,21663 0,788125 0,771153 
12-5-2010 29,24 4,865 26,41 65,235 7,1 33,435 67,21 48,74 1,21955 0,785891 0,764954 
11-5-2010 28,76 4,78 26,295 64,985 6,85 33,045 66,51 48,515 1,21921 0,784776 0,763753 
10-5-2010 29,53 4,84 26,41 65,3 7,15 32,62 66,075 48,53 1,22171 0,788048 0,766875 
7-5-2010 26,44 4,51 25,5 62,515 6,975 30,975 64,35 47,375 1,22171 0,790448 0,765687 
6-5-2010 26,745 4,52 25,235 60,945 7 31,03 64,055 47,755 1,22171 0,789639 0,761375 
5-5-2010 28,255 4,805 26,25 65,58 7 32,45 65,485 48,935 1,22387 0,787495 0,76029 
4-5-2010 29,575 5,025 26,595 67,425 7,15 33,345 65,515 49,985 1,22002 0,784234 0,7573 
3-5-2010 31,605 5,195 26,595 68,165 7,08 33,65 65,445 50,545 1,21497 0,778683 0,749698 
30-4-2010 31,59 5,21 26,605 68,55 7,11 33,4 65,58 51,17 1,21292 0,777091 0,745856 
29-4-2010 31,47 5,17 26,645 69,065 7,1 33,065 65,165 51,245 1,21588 0,778092 0,74703 
28-4-2010 30,815 5,205 26,595 67,375 6,85 32,31 64,21 51,155 1,2206 0,7817 0,748185 
27-4-2010 31,975 5,37 26,625 68,315 7,06 32,36 64,635 51,535 1,21969 0,78178 0,74333 
26-4-2010 33,215 5,465 26,855 70,135 6,725 33,02 65,025 52,165 1,21354 0,775219 0,735564 
23-4-2010 33,54 5,475 26,9 70,045 6,525 33,495 64,51 52,13 1,2069 0,766535 0,726767 
22-4-2010 33,465 5,485 26,955 69,875 6,49 33,14 65,145 52,105 1,20172 0,758396 0,722186 
21-4-2010 33,995 5,555 26,88 70,255 6,5 33,38 65,96 52,94 1,20193 0,753873 0,723904 
20-4-2010 34,78 5,615 26,845 70,69 6,47 33,445 66,06 53,48 1,20233 0,75519 0,72461 
19-4-2010 34,5 5,545 26,85 70,15 6,5 32,695 66,045 53,11 1,20573 0,758885 0,724604 
16-4-2010 34,97 5,61 26,86 71 6,58 32,455 66,305 53,305 1,20601 0,757684 0,726498 
15-4-2010 35,32 5,68 26,73 71,145 6,285 33,505 66,15 53,68 1,20573 0,758823 0,729962 
14-4-2010 35,185 5,61 26,82 71,81 6,2 32,885 66,065 53,645 1,20503 0,763753 0,733499 
13-4-2010 34,975 5,585 26,78 71,525 6,05 31,985 66,26 53,635 1,19977 0,765922 0,734556 
12-4-2010 35,17 5,625 26,995 70,415 6,25 32,485 66,465 53,575 1,19711 0,766961 0,729849 
9-4-2010 34,395 5,535 27,055 70,125 5,85 32,285 66,145 53,06 1,19805 0,769275 0,72717 
8-4-2010 33,53 5,45 26,77 68,555 6,1 31,985 65,905 51,985 1,19535 0,770527 0,730348 
7-4-2010 33,87 5,475 26,765 68,355 6,02 32,13 66,135 52,275 1,19547 0,773246 0,735039 
6-4-2010 33,75 5,525 26,75 68,605 6,255 31,87 66,21 52,49 1,19136 0,776055 0,73863 
5-4-2010 34,21 5,61 26,77 68,705 6,185 31,505 66,255 53,71 1,18681 0,778652 0,743857 
1-4-2010 34,105 5,615 26,82 68,59 6,15 31,365 66,465 53,965 1,18491 0,777423 0,739541 
31-3-2010 33,825 5,54 26,775 67,315 6,35 30,87 66,385 54,075 1,17953 0,773342 0,735653 
30-3-2010 33,93 5,545 26,77 67,17 6,33 31,05 66,68 53,67 1,18074 0,772804 0,735343 
29-3-2010 33,97 5,555 26,74 66,57 6,31 31,175 66,585 53,665 1,18841 0,775579 0,739278 
26-3-2010 33,355 5,52 26,965 66,51 6,15 31,385 66,575 53,81 1,19679 0,781794 0,744406 
25-3-2010 33,605 5,46 27,1 66,55 6,325 31,445 66,675 54,535 1,19728 0,788247 0,745478 
24-3-2010 33,09 5,45 26,9 66,3 6,4 30,975 66,625 54,8 1,19495 0,792917 0,748341 
23-3-2010 33,91 5,535 26,84 66,55 6,375 30,75 66,62 55,03 1,19292 0,793465 0,748384 
22-3-2010 33,385 5,515 26,9 66,225 6,14 30,32 66,355 54,545 1,19382 0,790611 0,748991 
19-3-2010 33,79 5,545 27,015 66,165 6,07 30,25 66,62 54,77 1,1988 0,79101 0,750663 
18-3-2010 34,38 5,59 26,94 66,68 30,205 66,445 54,76 1,20321 0,79367 0,749854 
17-3-2010 34,71 5,72 26,925 67,195 30,465 66,3 54,865 1,20578 0,795373 0,748953 
16-3-2010 34,395 5,7 26,815 66,945 30,03 66,065 54,86 1,20921 0,7971 0,749356 
15-3-2010 34,21 5,615 26,86 66,175 29,575 65,83 54,685 1,21258 0,800743 0,751903 
12-3-2010 34,5 5,66 26,87 66,34 29,715 64,965 54,69 1,21879 0,81173 0,756741 
11-3-2010 34,115 5,655 26,775 65,56 29,5 64,45 54,485 1,22836 0,817486 0,755487 
10-3-2010 33,875 5,61 26,975 65,645 29,465 64,3 54,665 1,22986 0,816249 0,751551 
9-3-2010 33,45 5,56 26,97 65,5 28,845 64,225 54,59 1,22013 0,809864 0,74321 
8-3-2010 33,915 5,58 26,9 65,64 29,085 64,13 54,38 1,21607 0,809766 0,738198 
5-3-2010 33,4 5,495 26,83 65,495 28,91 64,195 54,045 1,21456 0,812941 0,735683 
4-3-2010 32,89 5,44 26,835 65,26 28,39 64,23 53,855 1,20916 0,814331 0,734965 
3-3-2010 32,91 5,485 26,835 65,31 28,195 64,035 54,405 1,20056 0,811127 0,732116 
2-3-2010 32,515 5,415 26,66 65,585 27,79 63,71 54,415 1,19724 0,807211 0,728422 
1-3-2010 32,115 5,375 26,645 65,495 27,37 63,025 55,53 1,19648 0,808034 0,726838 
26-2-2010 31,965 5,365 26,645 64,91 27,215 62,25 55,27 1,19885 0,811011 0,722708 
25-2-2010 31,4 5,22 26,535 64,8 27,26 61,68 54,69 1,20306 0,813492 0,718125 
24-2-2010 31,905 5,365 26,505 65,845 27,475 61,87 54,85 1,20374 0,816024 0,716646 
23-2-2010 32,1 5,325 26,355 65,6 27,59 62,09 54,435 1,20266 0,82084 0,717949 
22-2-2010 32,705 5,365 26,505 65,905 27,765 62,485 55,085 1,20539 0,826555 0,720843 
19-2-2010 32,57 5,3 26,585 66,17 27,275 62,45 55,055 1,21118 0,830361 0,72486 
18-2-2010 32,575 5,32 26,64 66,335 27,365 62,345 54,68 1,20937 0,835214 0,72514 
17-2-2010 32,515 5,31 26,575 66,17 27,365 61,725 54,52 1,20945 0,837172 0,722377 
16-2-2010 32,21 5,235 26,46 65,185 27,165 60,975 54,005 1,21016 0,836734 0,719667 
12-2-2010 31,55 5,145 26,235 64,595 26,755 60,855 53,505 1,20402 0,828685 0,714987 
11-2-2010 31,58 5,075 26,3 63,48 26,975 61,1 53,525 1,19811 0,817508 0,707834 
10-2-2010 32,035 5,15 26,305 64,04 27,055 60,09 53,285 1,19679 0,818089 0,70669 
9-2-2010 32,24 5,13 26,125 63,68 26,755 59,885 53,425 1,18767 0,816067 0,704665 
8-2-2010 31,675 5,075 26,2 63,125 26,905 59,205 53,185 1,17863 0,813629 0,703191 
5-2-2010 31,625 5,06 26,255 62,86 27,165 59,37 53,205 1,17834 0,814215 0,703459 
4-2-2010 32,795 5,275 26,395 64,94 27,54 60,275 54,25 1,17786 0,813944 0,70426 
3-2-2010 34,57 5,42 26,455 66,96 28,38 60,98 54,765 1,1723 0,815506 0,703211 
2-2-2010 34,875 5,395 26,47 67,77 28,82 60,81 54,52 1,16678 0,811774 0,699557 
1-2-2010 34,525 5,395 26,39 67,28 28,8 60,135 53,91 1,15833 0,801425 0,694717 
29-1-2010 34,185 5,355 26,41 67,525 28,775 59,74 53,725 1,15419 0,799793 0,695556 
28-1-2010 34,35 5,41 26,46 68,325 28,245 60 53,99 1,16183 0,809845 0,703787 
27-1-2010 35,075 5,535 26,45 68,415 27,56 59,995 54,355 1,16852 0,813192 0,710161 
26-1-2010 35,505 5,55 26,445 68,255 27,635 60,175 54,22 1,16891 0,81014 0,713558 
25-1-2010 35,475 5,57 26,43 68,805 27,62 60,39 53,505 1,17208 0,810536 0,713728 
22-1-2010 35,525 5,54 26,41 69,025 27,79 60,775 53,805 1,17399 0,803617 0,71344 
21-1-2010 36,33 5,595 26,475 70,035 27,84 61,45 53,755 1,17312 0,792615 0,712643 
20-1-2010 36,94 5,645 26,405 69,995 28,175 61,795 53,485 1,17382 0,78882 0,710735 
19-1-2010 37,905 5,8 26,35 70,53 28,04 62,19 53,77 1,16463 0,782487 0,706469 
15-1-2010 38,01 5,85 26,335 69,48 28,39 62,365 52,75 1,15735 0,777929 0,704325 
14-1-2010 38,6 5,975 26,36 70,04 28,855 62,34 53,485 1,16608 0,7837 0,706717 
13-1-2010 38,69 5,99 26,38 69,07 28,28 61,875 53,055 1,17562 0,781216 0,702803 
12-1-2010 38,68 5,99 26,4 68,235 28,025 61,09 52,575 1,16763 0,770716 0,698061 
11-1-2010 38,845 6,04 26,39 68,79 28,875 60,455 53,205 1,15731 0,761089 0,698061 
8-1-2010 38,26 5,99 26,385 68,315 28,975 60,545 52,28 1,15193 0,754961 0,697729 
7-1-2010 38,25 5,94 26,425 68,165 28,675 60,955 51,945 1,15038 0,753343 0,697729 
6-1-2010 38,62 5,875 26,35 68,1 28,06 61,85 52,67 1,15251 0,756536 0,697488 
5-1-2010 38,725 5,8 26,315 68,34 27,74 61,5 52,46 1,15302 0,755795 0,697451 
4-1-2010 38,63 5,85 26,195 69,715 27,15 61,08 53,125 1,15542 0,751079 0,69682 
31-12-2009 38,025 5,815 26,095 69,675 26,965 61,1 54,665 1,15497 0,748724 0,69682 
30-12-2009 37,925 5,755 26,105 69,425 26,63 61,16 54,39 1,15132 0,748134 0,697137 
29-12-2009 38,46 5,855 25,875 69,405 26,715 61,345 54,925 1,15216 0,748185 0,697786 
28-12-2009 38,375 5,82 26,365 69,295 26,87 61,06 54,61 1,14552 0,744773 0,697419 
24-12-2009 38,04 5,855 26,49 68,835 27,005 60,68 54,725 1,13842 0,742828 0,697253 
23-12-2009 38,625 5,795 26,465 68,495 27 60,56 54,67 1,13569 0,742371 0,697618 
22-12-2009 38,145 5,785 26,375 68,305 26,985 60,52 54,145 1,13851 0,739362 0,697529 
21-12-2009 37,82 5,715 26,335 68,33 27,17 60,165 53,91 1,13675 0,73528 0,696793 
18-12-2009 37,215 5,69 26,25 68,17 26,59 59,345 54,13 1,13204 0,734221 0,695417 
17-12-2009 37,33 5,755 26,125 67,63 25,9 60,34 54,03 1,13226 0,735609 0,695417 
16-12-2009 38,16 5,855 26,28 68,92 25,885 61,155 54,225 1,13459 0,737331 0,694309 
15-12-2009 37,595 5,855 26,195 68,71 25,66 60,895 53,84 1,13984 0,744509 0,696184 
14-12-2009 37,78 5,975 26,385 68,455 25,5 61,315 54,16 1,14129 0,749471 0,698077 
11-12-2009 37,435 5,93 26,26 68,355 25,33 61,78 54,07 1,13773 0,747566 0,698238 
10-12-2009 37,39 5,935 26,22 67,79 25,755 62,15 54,16 1,13367 0,744558 0,698225 
9-12-2009 37,3 5,905 26,175 67,09 26,085 61,575 54,585 1,12993 0,741154 0,698061 
8-12-2009 37,9 5,97 26,255 67,905 26,185 63,62 55,305 1,12697 0,740247 0,699587 
7-12-2009 38,72 6,125 26,295 69,73 26,745 64,02 55,77 1,12562 0,740073 0,701677 
4-12-2009 38,625 6,15 26,24 69,535 26,995 63,54 55,74 1,12214 0,742149 0,699965 
3-12-2009 38,83 6,17 26,135 69,025 27,16 63,13 56,08 1,11714 0,743053 0,698461 
2-12-2009 38,71 6,14 26,045 69,22 27,63 63,455 55,955 1,11164 0,743625 0,699071 
1-12-2009 38,655 6,125 26,02 68,87 28,12 63,21 56,185 1,1132 0,747272 0,700459 
30-11-2009 37,415 6 25,785 67,38 27,675 62,49 55,595 1,11733 0,749693 0,70058 
27-11-2009 37,95 5,985 25,78 67,655 27,245 62,15 55,15 1,11547 0,745358 0,699771 
25-11-2009 38,905 6,155 26,275 69,38 27,89 62,88 55,81 1,11207 0,739667 0,698236 
24-11-2009 38,52 6,105 26,12 68,975 27,775 62,39 55,095 1,11044 0,739225 0,696924 
23-11-2009 38,425 6,145 26,07 69,115 28,115 62,625 54,685 1,11314 0,736507 0,694791 
20-11-2009 37,875 6,19 26,05 67,65 27,97 61,87 52,99 1,11604 0,730368 0,691156 
19-11-2009 38,095 6,34 26,05 68,085 28,385 61,725 53,025 1,10869 0,727303 0,689245 
18-11-2009 38,93 6,445 26,15 69,075 28,6 62,16 53,69 1,1022 0,729127 0,688452 
17-11-2009 38,42 6,355 26,15 69,21 28,235 62,33 53,39 1,10179 0,728518 0,687394 
16-11-2009 38,525 6,44 26,255 68,285 28,23 62,215 53,995 1,10248 0,728479 0,68568 
13-11-2009 37,91 6,315 26,17 67,41 27,76 61,74 53,115 1,09897 0,73307 0,684225 
12-11-2009 38,05 6,33 26,06 67,22 28,505 61,925 52,99 1,09947 0,735011 0,683945 
